iter	Passed	Remaining
413	3487	4936
414	3495	4927
415	3504	4919
416	3511	4909
417	3520	4901
418	3527	4891
419	3536	4884
420	3544	4874
421	3554	4867
422	3561	4858
423	3570	4849
424	3577	4840
425	3586	4833
426	3594	4824
427	3603	4816
428	3611	4807
429	3620	4798
430	3627	4788
431	3636	4781
432	3643	4771
433	3652	4763
434	3660	4753
435	3669	4747
436	3676	4737
437	3686	4729
438	3693	4719
439	3702	4711
440	3709	4702
441	3718	4694
442	3725	4684
443	3735	4678
444	3742	4667
445	3751	4659
446	3760	4652
447	3768	4642
448	3775	4633
449	3784	4625
450	3791	4614
451	3801	4608
452	3808	4599
453	3818	4591
454	3826	4582
455	3835	4575
456	3842	4565
457	3851	4558
458	3859	4548
459	3867	4540
460	3875	4531
461	3884	4523
462	3891	4513
463	3901	4506
464	3908	4496
465	3917	4489
466	3925	4480
467	3934	4472
468	3943	4464
469	3952	4456
470	3960	4448
471	3969	4439
472	3977	4431
473	3985	4422
474	3992	4413
475	4001	4405
476	4009	4395
477	4017	4387
478	4025	4378
479	4034	4370
480	4042	4361
481	4050	4353
482	4058	4343
483	4066	4335
484	4074	4326
485	4083	4318
486	4090	4308
487	4099	4300
488	4106	4290
489	4114	4282
490	4122	4273
491	4131	4266
492	4139	4257
493	4148	4249
494	4156	4240
495	4165	4232
496	4172	4223
497	4182	4215
498	4189	4206
499	4198	4198
500	4206	4189
501	4214	4181
502	4221	4171
503	4231	4163
504	4238	4154
505	4247	4146
506	4254	4137
507	4263	4129
508	4271	4120
509	4281	4113
510	4288	4103
511	4297	4096
512	4305	4087
513	4315	4080
514	4323	4071
515	4331	4063
516	4340	4055
517	4348	4046
518	4356	4037
519	4365	4029
520	4372	4020
521	4382	4012
522	4390	4004
523	4399	3996
524	4407	3987
525	4415	3978
526	4422	3969
527	4430	3960
528	4438	3951
529	4447	3943
530	4454	3934
531	4464	3927
532	4471	3917
533	4481	3910
534	4489	3902
535	4498	3893
536	4506	3885
537	4514	3876
538	4522	3868
539	4530	3859
540	4539	3851
541	4547	3843
542	4556	3834
543	4566	3827
544	4575	3819
545	4582	3810
546	4592	3803
547	4600	3794
548	4609	3786
549	4617	3778
550	4626	3770
551	4634	3761
552	4644	3754
553	4652	3745
554	4661	3737
555	4668	3728
556	4677	3720
557	4685	3711
558	4693	3702
559	4701	3693
560	4709	3685
561	4717	3676
562	4726	3668
563	4734	3659
564	4743	3652
565	4751	3643
566	4760	3635
567	4768	3626
568	4776	3618
569	4784	3609
570	4794	3602
571	4801	3592
572	4811	3585
573	4819	3576
574	4827	3568
575	4835	3559
576	4843	3550
577	4850	3541
578	4860	3533
579	4867	3525
580	4877	3517
581	4885	3508
582	4894	3501
583	4902	3492
584	4911	3484
585	4920	3476
586	4928	3467
587	4937	3459
588	4945	3450
589	4953	3442
590	4961	3433
591	4969	3424
592	4977	3416
593	4984	3407
594	4994	3399
595	5002	3391
596	5011	3382
597	5019	3374
598	5027	3365
599	5036	3357
600	5044	3348
601	5052	3340
602	5060	3331
603	5069	3323
604	5077	3314
605	5085	3306
606	5093	3297
607	5102	3289
608	5110	3281
609	5119	3272
610	5126	3264
611	5134	3255
612	5142	3246
613	5152	3238
614	5159	3229
615	5167	3221
616	5176	3212
617	5184	3204
618	5191	3195
619	5200	3187
620	5208	3178
621	5216	3170
622	5225	3162
623	5233	3153
624	5241	3144
625	5249	3136
626	5257	3127
627	5265	3118
628	5274	3110
629	5281	3102
630	5290	3093
631	5298	3084
632	5307	3077
633	5316	3068
634	5324	3060
635	5332	3051
636	5340	3043
637	5348	3034
638	5356	3026
639	5365	3017
640	5373	3009
641	5381	3001
642	5390	2992
643	5398	2984
644	5407	2976
645	5415	2967
646	5424	2959
647	5432	2950
648	5440	2942
649	5449	2934
650	5458	2926
651	5468	2918
652	5475	2909
653	5484	2901
654	5492	2892
655	5501	2884
656	5509	2876
657	5518	2868
658	5526	2859
659	5535	2851
660	5543	2843
661	5553	2835
662	5561	2826
663	5571	2819
664	5578	2810
665	5588	2802
666	5596	2794
667	5605	2786
668	5614	2777
669	5622	2769
670	5631	2760
671	5638	2752
672	5646	2743
673	5654	2735
674	5662	2726
675	5671	2718
676	5678	2709
677	5687	2701
678	5695	2692
679	5704	2684
680	5712	2675
681	5720	2667
682	5727	2658
683	5736	2650
684	5744	2641
685	5753	2633
686	5761	2624
687	5770	2616
688	5777	2607
689	5786	2599
690	5793	2590
691	5803	2583
692	5810	2574
693	5819	2566
694	5827	2557
695	5835	2548
696	5843	2540
697	5852	2532
698	5859	2523
699	5868	2515
700	5875	2506
701	5885	2498
702	5894	2490
703	5903	2481
704	5911	2473
705	5919	2465
706	5927	2456
707	5935	2448
708	5943	2439
709	5951	2431
710	5959	2422
711	5968	2414
712	5976	2405
713	5985	2397
714	5992	2388
715	6001	2380
716	6009	2371
717	6017	2363
718	6025	2355
719	6034	2346
720	6042	2338
721	6051	2330
722	6060	2321
723	6068	2313
724	6076	2304
725	6084	2296
726	6092	2287
727	6100	2279
728	6108	2270
729	6118	2262
730	6126	2254
731	6134	2246
732	6142	2237
733	6150	2229
734	6158	2220
735	6167	2212
736	6175	2203
737	6183	2195
738	6192	2186
739	6201	2178
740	6209	2170
741	6217	2162
742	6226	2153
743	6234	2145
744	6241	2136
745	6250	2128
746	6258	2119
747	6267	2111
748	6276	2103
749	6284	2094
750	6295	2087
751	6303	2078
752	6313	2070
753	6320	2062
754	6329	2054
755	6337	2045
756	6347	2037
757	6354	2028
758	6364	2021
759	6372	2012
760	6381	2004
761	6389	1995
762	6398	1987
763	6406	1979
764	6415	1970
765	6424	1962
766	6432	1954
767	6441	1945
768	6450	1937
769	6460	1929
770	6468	1921
771	6477	1912
772	6484	1904
773	6493	1896
774	6501	1887
775	6512	1879
776	6519	1871
777	6529	1863
778	6537	1854
779	6546	1846
780	6554	1837
781	6562	1829
782	6570	1820
783	6579	1812
784	6588	1804
785	6597	1796
786	6605	1787
787	6614	1779
788	6623	1771
789	6630	1762
790	6638	1753
791	6646	1745
792	6654	1737
793	6663	1728
794	6671	1720
795	6680	1712
796	6689	1703
797	6697	1695
798	6706	1687
799	6714	1678
800	6723	1670
801	6731	1661
802	6739	1653
803	6747	1644
804	6756	1636
805	6763	1628
806	6771	1619
807	6779	1611
808	6788	1602
809	6797	1594
810	6805	1585
811	6812	1577
812	6820	1568
813	6828	1560
814	6836	1551
815	6845	1543
816	6852	1534
817	6861	1526
818	6868	1517
819	6877	1509
820	6885	1501
821	6893	1492
822	6900	1484
823	6910	1475
824	6918	1467
825	6926	1459
826	6934	1450
827	6943	1442
828	6951	1433
829	6960	1425
830	6969	1417
831	6977	1408
832	6985	1400
833	6994	1392
834	7002	1383
835	7011	1375
836	7019	1366
837	7027	1358
838	7035	1350
839	7043	1341
840	7052	1333
841	7059	1324
842	7068	1316
843	7076	1307
844	7084	1299
845	7093	1291
846	7101	1282
847	7110	1274
848	7118	1266
849	7126	1257
850	7134	1249
851	7143	1240
852	7152	1232
853	7159	1224
854	7169	1215
855	7177	1207
856	7185	1198
857	7193	1190
858	7202	1182
859	7209	1173
860	7218	1165
861	7225	1156
862	7233	1148
863	7242	1140
864	7251	1131
865	7258	1123
866	7266	1114
867	7275	1106
868	7282	1097
869	7291	1089
870	7299	1081
871	7307	1072
872	7314	1064
873	7323	1055
874	7332	1047
875	7340	1039
876	7348	1030
877	7357	1022
878	7365	1013
879	7373	1005
880	7380	996
881	7389	988
882	7397	980
883	7406	971
884	7415	963
885	7423	955
886	7430	946
887	7439	938
888	7447	929
889	7455	921
890	7464	913
891	7473	904
892	7480	896
893	7489	887
894	7496	879
895	7505	871
896	7513	862
897	7521	854
898	7530	846
899	7538	837
900	7545	829
901	7554	820
902	7561	812
903	7571	804
904	7579	795
905	7588	787
906	7595	778
907	7604	770
908	7611	762
909	7621	753
910	7629	745
911	7639	737
912	7647	728
913	7655	720
914	7664	712
915	7673	703
916	7683	695
917	7691	687
918	7699	678
919	7709	670
920	7718	662
921	7726	653
922	7735	645
923	7743	636
924	7753	628
925	7761	620
926	7770	611
927	7778	603
928	7787	595
929	7794	586
930	7802	578
931	7810	569
932	7819	561
933	7827	553
934	7836	544
935	7843	536
936	7851	527
937	7859	519
938	7867	511
939	7876	502
940	7885	494
941	7893	486
942	7901	477
943	7910	469
944	7918	460
945	7926	452
946	7935	444
947	7942	435
948	7950	427
949	7959	418
950	7967	410
951	7975	402
952	7983	393
953	7990	385
954	7999	376
955	8006	368
956	8015	360
957	8022	351
958	8032	343
959	8039	334
960	8047	326
961	8055	318
962	8063	309
963	8072	301
964	8080	293
965	8088	284
966	8096	276
967	8104	267
968	8112	259
969	8121	251
970	8129	242
971	8137	234
972	8144	226
973	8153	217
974	8161	209
975	8169	200
976	8177	192
977	8185	184
978	8194	175
979	8202	167
980	8210	159
981	8218	150
982	8226	142
983	8235	133
984	8243	125
985	8252	117
986	8260	108
987	8268	100
988	8276	92
989	8284	83
990	8293	75
991	8301	66
992	8309	58
993	8318	50
994	8326	41
995	8334	33
996	8341	25
997	8350	16
998	8358	8
999	8365	0
